,Loss,S1,S2,S2_Call,S1_Call,S2_Put,S1_Put,Date,Symbol
135,-2027.4999999999998,150.0,160.0,4.425000000000001,-14.7,-0.005,0.005,2023-04-21,AAPL
239,-2011.5000000000002,160.0,170.0,0.005,-4.425000000000001,-5.7,0.005,2023-04-28,AAPL
41,-2011.5000000000002,160.0,170.0,0.005,-4.425000000000001,-5.7,0.005,2023-04-06,AAPL
173,-2011.5000000000002,160.0,170.0,0.005,-4.425000000000001,-5.7,0.005,2023-04-21,AAPL
107,-2011.5000000000002,160.0,170.0,0.005,-4.425000000000001,-5.7,0.005,2023-04-14,AAPL
146,-2007.9999999999998,152.5,162.5,2.095,-12.175,-0.005,0.005,2023-04-21,AAPL
212,-2007.9999999999998,152.5,162.5,2.095,-12.175,-0.005,0.005,2023-04-28,AAPL
14,-2007.9999999999998,152.5,162.5,2.095,-12.175,-0.005,0.005,2023-04-06,AAPL
80,-2007.9999999999998,152.5,162.5,2.095,-12.175,-0.005,0.005,2023-04-14,AAPL
746,-2004.0,98.0,108.0,0.005,-4.075,-5.975,0.005,2023-04-28,AMZN
614,-2004.0,98.0,108.0,0.005,-4.075,-5.975,0.005,2023-04-14,AMZN
548,-2004.0,98.0,108.0,0.005,-4.075,-5.975,0.005,2023-04-06,AMZN
680,-2004.0,98.0,108.0,0.005,-4.075,-5.975,0.005,2023-04-21,AMZN
878,-2001.5,88.0,98.0,0.005,-4.475,-5.550000000000001,0.005,2023-04-14,AMD
812,-2001.5,88.0,98.0,0.005,-4.475,-5.550000000000001,0.005,2023-04-06,AMD
801,-2001.5,87.0,97.0,0.005,-5.475,-4.550000000000001,0.005,2023-04-06,AMD
933,-2001.5,87.0,97.0,0.005,-5.475,-4.550000000000001,0.005,2023-04-21,AMD
1010,-2001.5,88.0,98.0,0.005,-4.475,-5.550000000000001,0.005,2023-04-28,AMD
944,-2001.5,88.0,98.0,0.005,-4.475,-5.550000000000001,0.005,2023-04-21,AMD
999,-2001.5,87.0,97.0,0.005,-5.475,-4.550000000000001,0.005,2023-04-28,AMD
867,-2001.5,87.0,97.0,0.005,-5.475,-4.550000000000001,0.005,2023-04-14,AMD
339,-2000.0,103.0,113.0,0.005,-5.8,-4.21,0.005,2023-04-14,GOOGL
405,-2000.0,103.0,113.0,0.005,-5.8,-4.21,0.005,2023-04-21,GOOGL
273,-2000.0,103.0,113.0,0.005,-5.8,-4.21,0.005,2023-04-06,GOOGL
471,-2000.0,103.0,113.0,0.005,-5.8,-4.21,0.005,2023-04-28,GOOGL
603,-1999.0000000000002,97.0,107.0,0.005,-5.025,-4.975,0.005,2023-04-14,AMZN
537,-1999.0000000000002,97.0,107.0,0.005,-5.025,-4.975,0.005,2023-04-06,AMZN
669,-1999.0000000000002,97.0,107.0,0.005,-5.025,-4.975,0.005,2023-04-21,AMZN
735,-1999.0000000000002,97.0,107.0,0.005,-5.025,-4.975,0.005,2023-04-28,AMZN
186,-1996.5,165.0,175.0,0.005,-0.005,-10.425,0.45999999999999996,2023-04-21,AAPL
252,-1996.5,165.0,175.0,0.005,-0.005,-10.425,0.45999999999999996,2023-04-28,AAPL
120,-1996.5,165.0,175.0,0.005,-0.005,-10.425,0.45999999999999996,2023-04-14,AAPL
54,-1996.5,165.0,175.0,0.005,-0.005,-10.425,0.45999999999999996,2023-04-06,AAPL
350,-1979.0,104.0,114.0,0.005,-4.25,-5.55,0.005,2023-04-14,GOOGL
